41,,0,369,655,161,63
42,,0,309,640,161,63
43,,0,221,593,222,125
44,,0,182,540,222,179
45,,0,138,539,222,179
46,,0,104,518,211,170
47,,0,71,486,274,234
48,,0,43,448,274,234
49,,0,26,442,230,273
50,,0,18,427,230,273
51,,0,0,425,227,288
52,,0,-1,419,227,288
53,,0,-1,420,149,288
54,,0,-1,431,63,288
55,,0,1,432,124,288
56,,0,-2,432,124,288
57,,0,-6,441,117,288
58,,0,-9,441,117,288
59,,0,-11,443,70,288
60,,0,-12,443,70,288
61,,0,-13,445,70,288
62,,0,-12,445,70,288
63,,0,-14,438,74,302
64,,0,-14,438,74,302
435,,0,0,527,75,193
436,,0,4,531,116,193
437,,0,1,527,116,193
438,,0,3,529,116,193
439,,0,1,527,116,193
440,,0,7,526,116,193
441,,0,-4,499,258,220
442,,0,-4,502,258,220
443,,0,10,496,258,220
444,,0,48,502,258,220
445,,0,95,580,258,144
446,,0,141,590,271,151
447,,0,207,628,185,92
448,,0,262,675,185,44
825,,0,239,642,129,77
826,,0,161,617,188,108
827,,0,121,612,188,108
828,,0,88,556,188,163
829,,0,53,556,229,163
830,,0,7,537,229,176
831,,0,-1,520,229,199
832,,0,-1,499,221,221
833,,0,0,491,194,221
834,,0,-1,488,194,221
835,,0,-1,490,231,221
836,,0,-1,456,156,262
837,,0,0,457,156,262
838,,0,-2,458,156,262
839,,0,-8,453,164,275
840,,0,-10,455,164,275
841,,0,3,444,70,275
842,,0,0,498,70,221
843,,0,0,490,70,221
844,,0,6,487,70,221
845,,0,4,485,70,221
1095,,0,0,591,62,129
1096,,0,1,590,62,129
1097,,0,0,591,62,129
1098,,0,1,468,123,251
1099,,0,4,470,123,251
1100,,0,3,468,131,251
1101,,0,9,536,131,183
1102,,0,37,574,161,142
1103,,0,70,601,161,142
1104,,0,120,641,153,76
1105,,0,198,676,153,76
1356,,0,0,439,80,281
1357,,0,3,437,80,281
1358,,0,-1,445,80,281
1359,,0,-7,437,80,281
1360,,0,-5,440,80,281
1361,,0,-6,434,84,295
1362,,0,-7,429,88,310
1363,,0,-2,429,84,295
1364,,0,4,431,134,295
1365,,0,14,424,134,295
1366,,0,33,455,141,310
1367,,0,62,481,148,325
1368,,0,96,516,148,325
1369,,0,98,556,148,162
1370,,0,133,575,155,170
1371,,0,177,616,163,100
1372,,0,242,653,163,100
1602,,0,126,634,120,86
1603,,0,94,621,120,86
1604,,0,27,594,182,127
1605,,0,12,593,182,127
1605,,0,544,676,209,44
1606,,0,8,548,210,178
1606,,0,478,666,209,51
1607,,0,1,531,210,178
1607,,0,372,647,219,72
1608,,0,-4,492,186,227
1608,,0,300,598,230,124
1609,,0,-1,493,136,227
1609,,0,280,553,195,156
1610,,0,-1,493,136,227
1610,,0,220,529,195,156
1611,,0,-3,494,104,227
1611,,0,165,499,285,218
1612,,0,-5,495,104,227
1612,,0,114,484,285,218
1613,,0,-8,497,104,227
1613,,0,135,465,242,248
1614,,0,-12,492,109,238
1614,,0,95,441,242,276
1615,,0,-14,493,109,238
1615,,0,62,423,242,276
1616,,0,-16,491,109,238
1616,,0,51,445,242,279
1617,,0,-25,492,64,238
1617,,0,50,441,242,279
1618,,0,-26,492,64,238
1618,,0,7,408,242,305
1619,,0,-27,493,64,238
1619,,0,5,402,242,305
1620,,0,-4,399,196,323
1621,,0,-8,397,196,323
1622,,0,-21,388,206,339
1623,,0,1,384,150,339
1624,,0,-2,384,150,339
1625,,0,-8,384,150,339
1626,,0,-10,385,150,339
1627,,0,-12,387,98,339
1628,,0,-13,387,98,339
1629,,0,0,450,81,266
1630,,0,3,428,81,266
1631,,0,5,452,81,266
1632,,0,11,427,81,266
1633,,0,-2,453,81,266

2692,,0,0,541,69,179
2693,,0,0,540,69,179
2694,,0,-6,531,69,179
2695,,0,0,540,69,179
